	RCC4-EV	RCC4-VHL
ACSM4	0	2.23108503889083
ACSM5	116.214495417431	289.030870614749
ACSM5P1	0	1.09117412733811
ACSM6	0	0
ACSS1	25.3931446992741	128.309087907625
ACSS2	407.188447091861	541.888618763756
ACSS3	0	1.39194190050031
ACTA1	0	0
ACTA2	502.781076866227	297.01922482429
ACTA2-AS1	1.04147193711216	13.314519401097
ACTB	89212.8568282375	90749.0469624164
ACTBL2	47.5166129635758	146.012062474745
ACTBP1	0	0
ACTBP11	0	0
ACTBP12	0	0
ACTBP14	0	0
ACTBP15	0	0
ACTBP2	0	0
ACTBP4	1.32362794794113	0
ACTBP6	0	0
ACTBP7	0	0
ACTBP8	0	1.27968750407158
ACTBP9	0	0
ACTC1	0	0
ACTE1P	7.12319088993173	8.81116064329965
ACTG1	49171.9278287612	26824.1872568734
ACTG1P1	3.72530440254221	0
ACTG1P10	0	0
ACTG1P12	0	0
ACTG1P13	0	0
ACTG1P14	1.25094428640101	1.26078570553451
ACTG1P15	0	0
ACTG1P16	0	0
ACTG1P17	4.06676396458081	11.1493698908071
ACTG1P18	0	0
ACTG1P19	0	0
ACTG1P2	0	0
ACTG1P20	12.1563530625295	16.3425286557283
ACTG1P21	0	0
ACTG1P22	0	0
ACTG1P23	0	0
ACTG1P24	0	1.70061520897946
ACTG1P25	4.14211511223147	3.91233589141574
ACTG1P3	2.52320712179749	0
ACTG1P4	0	0
ACTG1P9	0.477117235676455	0
ACTG2	0	5.1968382029011
ACTL10	62.2631590591108	15.2645794797582
ACTL11P	0.626155019644804	1.26227850608638
ACTL6A	1418.25003956904	1659.11142189514
ACTL6B	0	0
ACTL7A	0	0
ACTL7B	0	0
ACTL8	0	0
ACTL9	0	0
ACTN1	9867.13575237979	5170.23174533543
ACTN1-DT	9.41291828744547	7.71107176337008
ACTN2	8.79092454613312	9.00516163896323
ACTN3	0	0
ACTN4	8823.49619471431	8128.5415745151
ACTN4P1	0	0
ACTN4P2	0	0
ACTP1	0	0
ACTR10	947.875419204149	601.167917906796
ACTR1A	1359.82044216878	1191.90073944882
ACTR1AP1	0	0
ACTR1B	833.610151917193	395.985656881457
ACTR2	3817.80904369556	3414.28039628193
ACTR3	4387.98279139181	3570.19031512566
ACTR3-AS1	17.3388304376512	12.3151209696592
ACTR3B	165.097480126384	228.959483088742
ACTR3BP1	0	0
ACTR3BP2	0	0
ACTR3BP3	0	0
ACTR3BP4	0	0
ACTR3BP5	0	0
ACTR3BP6	0	0
ACTR3BP7	0	0
ACTR3C	182.587845115003	142.063605015046
ACTR3P2	0	0
ACTR3P3	0	0
ACTR5	125.291907971837	93.5410481923109
